date,product,category,region,quantity,revenue,cost,profit
2024-01-15,Widget A,Electronics,North,50,5000,3000,2000
2024-01-16,Gadget B,Electronics,South,35,3500,2000,1500
2024-01-17,Device C,Technology,East,42,4200,2500,1700
2024-01-18,Widget A,Electronics,West,28,2800,1600,1200
2024-01-19,Gadget B,Electronics,North,55,5500,3200,2300
2024-01-20,Device C,Technology,South,33,3300,1900,1400
2024-01-21,Widget A,Electronics,East,48,4800,2800,2000
2024-01-22,Gadget B,Electronics,West,42,4200,2400,1800
2024-01-23,Device C,Technology,North,51,5100,3000,2100
2024-01-24,Widget A,Electronics,South,39,3900,2200,1700
2024-01-25,Gadget B,Electronics,East,46,4600,2600,2000
2024-01-26,Device C,Technology,West,37,3700,2100,1600
2024-01-27,Widget A,Electronics,North,58,5800,3400,2400
2024-01-28,Gadget B,Electronics,South,41,4100,2300,1800
2024-01-29,Device C,Technology,East,44,4400,2500,1900
2024-01-30,Widget A,Electronics,West,35,3500,2000,1500
2024-02-01,Gadget B,Electronics,North,49,4900,2800,2100
2024-02-02,Device C,Technology,South,52,5200,3100,2100
2024-02-03,Widget A,Electronics,East,43,4300,2400,1900
2024-02-04,Gadget B,Electronics,West,38,3800,2100,1700
2024-02-05,Device C,Technology,North,56,5600,3300,2300
2024-02-06,Widget A,Electronics,South,47,4700,2700,2000
2024-02-07,Gadget B,Electronics,East,40,4000,2300,1700
2024-02-08,Device C,Technology,West,34,3400,1900,1500
2024-02-09,Widget A,Electronics,North,51,5100,2900,2200
2024-02-10,Gadget B,Electronics,South,44,4400,2500,1900
2024-02-11,Device C,Technology,East,48,4800,2800,2000
2024-02-12,Widget A,Electronics,West,36,3600,2100,1500
2024-02-13,Gadget B,Electronics,North,53,5300,3100,2200
2024-02-14,Device C,Technology,South,45,4500,2600,1900
2024-02-15,Widget A,Electronics,East,41,4100,2300,1800
2024-02-16,Gadget B,Electronics,West,39,3900,2200,1700
2024-02-17,Device C,Technology,North,54,5400,3200,2200
2024-02-18,Widget A,Electronics,South,46,4600,2700,1900
2024-02-19,Gadget B,Electronics,East,42,4200,2400,1800
2024-02-20,Device C,Technology,West,38,3800,2200,1600
2024-02-21,Widget A,Electronics,North,50,5000,2900,2100
2024-02-22,Gadget B,Electronics,South,43,4300,2500,1800
2024-02-23,Device C,Technology,East,47,4700,2700,2000
2024-02-24,Widget A,Electronics,West,37,3700,2100,1600
2024-02-25,Gadget B,Electronics,North,52,5200,3000,2200
2024-02-26,Device C,Technology,South,49,4900,2900,2000
2024-02-27,Widget A,Electronics,East,40,4000,2300,1700
2024-02-28,Gadget B,Electronics,West,45,4500,2600,1900
2024-03-01,Device C,Technology,North,55,5500,3300,2200
2024-03-02,Widget A,Electronics,South,44,4400,2500,1900
2024-03-03,Gadget B,Electronics,East,38,3800,2200,1600
2024-03-04,Device C,Technology,West,41,4100,2400,1700
2024-03-05,Widget A,Electronics,North,57,5700,3400,2300
