date,product,category,region,quantity,revenue,cost,profit
2024-01-01,Laptop Pro,Electronics,North,12,24000,14400,9600
2024-01-02,USB Cable,Electronics,South,156,1560,780,780
2024-01-03,Monitor 4K,Electronics,East,8,4800,2880,1920
2024-01-04,Keyboard Mechanical,Electronics,West,34,3400,1700,1700
2024-01-05,Mouse Wireless,Electronics,North,89,1780,890,890
2024-01-06,Laptop Pro,Electronics,South,15,30000,18000,12000
2024-01-07,Monitor 4K,Electronics,East,11,6600,3960,2640
2024-01-08,USB Cable,Electronics,West,234,2340,1170,1170
2024-01-09,Keyboard Mechanical,Electronics,North,45,4500,2250,2250
2024-01-10,Mouse Wireless,Electronics,South,102,2040,1020,1020
2024-01-11,Laptop Pro,Electronics,East,18,36000,21600,14400
2024-01-12,Monitor 4K,Electronics,West,13,7800,4680,3120
2024-01-13,USB Cable,Electronics,North,198,1980,990,990
2024-01-14,Keyboard Mechanical,Electronics,South,52,5200,2600,2600
2024-01-15,Mouse Wireless,Electronics,East,115,2300,1150,1150
2024-01-16,Laptop Pro,Electronics,West,14,28000,16800,11200
2024-01-17,Monitor 4K,Electronics,North,9,5400,3240,2160
2024-01-18,USB Cable,Electronics,South,267,2670,1335,1335
2024-01-19,Keyboard Mechanical,Electronics,East,38,3800,1900,1900
2024-01-20,Mouse Wireless,Electronics,West,97,1940,970,970
2024-01-21,Laptop Pro,Electronics,North,16,32000,19200,12800
2024-01-22,Monitor 4K,Electronics,South,10,6000,3600,2400
2024-01-23,USB Cable,Electronics,East,189,1890,945,945
2024-01-24,Keyboard Mechanical,Electronics,West,48,4800,2400,2400
2024-01-25,Mouse Wireless,Electronics,North,123,2460,1230,1230
2024-01-26,Laptop Pro,Electronics,South,17,34000,20400,13600
2024-01-27,Monitor 4K,Electronics,East,12,7200,4320,2880
2024-01-28,USB Cable,Electronics,West,212,2120,1060,1060
2024-01-29,Keyboard Mechanical,Electronics,North,41,4100,2050,2050
2024-01-30,Mouse Wireless,Electronics,South,108,2160,1080,1080
2024-02-01,Laptop Pro,Electronics,East,13,26000,15600,10400
2024-02-02,Monitor 4K,Electronics,West,11,6600,3960,2640
2024-02-03,USB Cable,Electronics,North,245,2450,1225,1225
2024-02-04,Keyboard Mechanical,Electronics,South,55,5500,2750,2750
2024-02-05,Mouse Wireless,Electronics,East,119,2380,1190,1190
2024-02-06,Laptop Pro,Electronics,West,19,38000,22800,15200
2024-02-07,Monitor 4K,Electronics,North,14,8400,5040,3360
2024-02-08,USB Cable,Electronics,South,178,1780,890,890
2024-02-09,Keyboard Mechanical,Electronics,East,47,4700,2350,2350
2024-02-10,Mouse Wireless,Electronics,West,94,1880,940,940
2024-02-11,Laptop Pro,Electronics,North,11,22000,13200,8800
2024-02-12,Monitor 4K,Electronics,South,9,5400,3240,2160
2024-02-13,USB Cable,Electronics,East,223,2230,1115,1115
2024-02-14,Keyboard Mechanical,Electronics,West,39,3900,1950,1950
2024-02-15,Mouse Wireless,Electronics,North,126,2520,1260,1260
2024-02-16,Laptop Pro,Electronics,South,20,40000,24000,16000
2024-02-17,Monitor 4K,Electronics,East,15,9000,5400,3600
2024-02-18,USB Cable,Electronics,West,191,1910,955,955
2024-02-19,Keyboard Mechanical,Electronics,North,51,5100,2550,2550
2024-02-20,Mouse Wireless,Electronics,South,111,2220,1110,1110
