date,product,category,region,quantity,revenue,cost,profit
2024-01-05,Running Shoes,Apparel,North,45,9000,4500,4500
2024-01-06,Cotton T-Shirt,Apparel,South,234,2340,1170,1170
2024-01-07,Winter Jacket,Apparel,East,28,8400,4200,4200
2024-01-08,Jeans Classic,Apparel,West,67,6700,3350,3350
2024-01-09,Summer Dress,Apparel,North,53,7950,3975,3975
2024-01-10,Running Shoes,Apparel,South,52,10400,5200,5200
2024-01-11,Winter Jacket,Apparel,East,35,10500,5250,5250
2024-01-12,Cotton T-Shirt,Apparel,West,298,2980,1490,1490
2024-01-13,Jeans Classic,Apparel,North,74,7400,3700,3700
2024-01-14,Summer Dress,Apparel,South,61,9150,4575,4575
2024-01-15,Running Shoes,Apparel,East,48,9600,4800,4800
2024-01-16,Winter Jacket,Apparel,West,32,9600,4800,4800
2024-01-17,Cotton T-Shirt,Apparel,North,267,2670,1335,1335
2024-01-18,Jeans Classic,Apparel,South,81,8100,4050,4050
2024-01-19,Summer Dress,Apparel,East,57,8550,4275,4275
2024-01-20,Running Shoes,Apparel,West,41,8200,4100,4100
2024-01-21,Winter Jacket,Apparel,North,29,8700,4350,4350
2024-01-22,Cotton T-Shirt,Apparel,South,312,3120,1560,1560
2024-01-23,Jeans Classic,Apparel,East,68,6800,3400,3400
2024-01-24,Summer Dress,Apparel,West,64,9600,4800,4800
2024-01-25,Running Shoes,Apparel,North,49,9800,4900,4900
2024-01-26,Winter Jacket,Apparel,South,38,11400,5700,5700
2024-01-27,Cotton T-Shirt,Apparel,East,289,2890,1445,1445
2024-01-28,Jeans Classic,Apparel,West,76,7600,3800,3800
2024-01-29,Summer Dress,Apparel,North,55,8250,4125,4125
2024-02-01,Running Shoes,Apparel,South,43,8600,4300,4300
2024-02-02,Winter Jacket,Apparel,East,36,10800,5400,5400
2024-02-03,Cotton T-Shirt,Apparel,West,256,2560,1280,1280
2024-02-04,Jeans Classic,Apparel,North,79,7900,3950,3950
2024-02-05,Summer Dress,Apparel,South,59,8850,4425,4425
2024-02-06,Running Shoes,Apparel,East,51,10200,5100,5100
2024-02-07,Winter Jacket,Apparel,West,33,9900,4950,4950
2024-02-08,Cotton T-Shirt,Apparel,North,278,2780,1390,1390
2024-02-09,Jeans Classic,Apparel,South,72,7200,3600,3600
2024-02-10,Summer Dress,Apparel,East,63,9450,4725,4725
